id,char1,char2,char3,char4,example,mean,py1,py2,py3,py4,pytone1,pytone2,pytone3,pytone4,source
1,哀,思,如,潮,,哀伤的思绪如同潮涌一般。形容极度悲痛。,ai,si,ru,chao,āi,sī,rú,cháo,
2,哀,痛,欲,绝,宝庆给大哥唱了一曲挽歌，直唱得泣不成声，～。（老舍《鼓书艺人》十七）,伤心得要死。形容悲痛到了极点。,ai,tong,yu,jue,āi,tòng,yù,jué,清·曹雪芹《红楼梦》第十三回：“那宝珠按未嫁女之礼在灵前哀哀欲绝。”
3,挨,肩,擦,膀,那两边围看的，～，不知其数。（明·兰陵笑笑生《金瓶梅词话》第四二回）,指身体相贴近。也形容人群拥挤。,ai,jian,ca,bang,āi,jiān,cā,bǎng,元·刘君锡《来生债》第一折：“你怎么偏要挨肩擦膀的，舒着手往我怀里摸甚么？”
4,挨,山,塞,海,,形容人极多而拥挤不堪。,ai,shan,se,hai,āi,shān,sè,hǎi,明·凌濛初《初刻拍案惊奇》卷十七：“那日观看的人，何止挨山塞海。”
5,蔼,然,仁,者,子恺为他家华瞻写的文章，真是‘～’之言。（朱自清《儿女》）,对人和善的有仁德的人。,ai,ran,ren,zhe,ǎi,rán,rén,zhě,唐·韩愈《答李翊书》：“仁义之人，其言蔼如也。”
6,矮,人,看,场,是真是假，要弄个明白，不能～，人云亦云。,比喻只知道附和别人，自己没有主见。也比喻见识不广。,ai,ren,kan,chang,ǎi,rén,kàn,chǎng,《朱子语类》卷二十七：“正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。”
7,矮,子,看,戏,～何曾见，都是随人说短长。(清·赵翼《诗论》诗),比喻只知道附和别人，自己没有主见。也比喻见识不广。,ai,zi,kan,xi,ǎi,zǐ,kàn,xì,《朱子语类》卷二十七：“正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。”
8,碍,口,识,羞,,碍口：说不出口。指怕羞而不说话。,ai,kou,shi,xiu,ài,kǒu,shí,xiū,《石点头·潘文子契合鸳鸯冢》：“这事关系你终身，肯与不肯，明白说出，莫要碍口识羞，两相耽误。“
9,碍,手,碍,脚,宝钗因说道：“咱们别在这里～。”说着，和宝玉等便往迎春房中来。（清·曹雪芹《红楼梦》第十八回）,妨碍别人做事。,ai,shou,ai,jiao,ài,shǒu,ài,jiǎo,明·凌濛初《初刻拍案惊奇》第三十二卷：“后边有些嫌忌起来，碍手碍脚，到底不妙。”
10,爱,别,离,苦,,佛家语，指亲爱的人离别的痛苦。,ai,bie,li,ku,ài,bié,lí,kǔ,《瑜伽师地论》卷六十一：“云何爱别离苦？当知此苦，亦由五相。”宋·释道原《景德传灯录》卷二十三：“问：‘如何是至极之谈？’曰：‘爱别离苦。’”
11,爱,不,忍,释,得见钱唐陈小云司马《香畹楼忆语》钞本一种，～，亟问假归，手录展玩。（清·王维鋆《香畹楼忆语序一》）,对所喜欢的物品，爱得拿在手里久久不肯放下。,ai,bu,ren,shi,ài,bù,rěn,shì,南朝梁·萧统《陶渊明集序》：“余爱嗜其文，不能释手。”
12,爱,不,释,手,虽是不合他的路数，可奈文有定评，他看了也知道～。（清·文康《儿女英雄传》第三十五回）,释：放下。喜爱得舍不得放手。,ai,bu,shi,shou,ài,bù,shì,shǒu,南朝梁·萧统《陶渊明集序》：“余爱嗜其文，不能释手。”
13,爱,才,如,渴,宫保～，兄弟实在钦佩的。（清·刘鹗《老残游记》第六回）,才：贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。,ai,cai,ru,ke,ài,cái,rú,kě,清·叶燮《原诗·外篇上》：“嫉恶甚严，爱才若渴，此韩愈之面目也。”
14,爱,才,若,渴,他们发现了佳人并非因为‘～’而做婊子的，佳人只为的是钱。（鲁迅《上海文艺之一瞥》）,才：贤才，人才。爱慕贤才，急欲求得，就象口渴急于喝水一样。,ai,cai,ruo,ke,ài,cái,ruò,kě,清·叶燮《原诗·外篇上》：“嫉恶甚严，爱才若渴，此韩愈之面目也。”
15,爱,财,如,命,那个人极端自私，～。,把钱财看得跟生命一样重要。形容极端吝啬。,ai,cai,ru,ming,ài,cái,rú,mìng,清·岭南羽衣女士《东欧女豪杰》第四回：“我想近来世界，不管什么英雄，什么豪杰，都是爱财如命，何况吃官司的，少不免要和那些狼官鼠吏交手，这更没钱不行了。”
16,爱,国,如,家,,指帝王像爱抚自己的家室一样爱国爱民。,ai,guo,ru,jia,ài,guó,rú,jiā,汉·荀悦《汉纪·惠帝纪》：“封建诸侯各世其位，欲使亲民如子、爱国如家。”《晋书·刘聪传》：“臣闻古之圣王爱国如家，故皇天亦祐之如子。”
17,爱,毛,反,裘,,古时穿皮毛衣服，毛的一面向外。比喻不重视根本，轻重倒置。,ai,mao,fan,qiu,ài,máo,fǎn,qiú,汉·刘向《新序·杂事》：“魏文侯出游，见路人反裘而负刍，文侯曰：‘胡为反裘而负刍？’对曰：‘臣爱其毛。’文侯曰：‘若不知其里尽而毛无所恃邪？’”
18,爱,民,如,子,一路地方官员馈送礼物，岳爷始终不受……只是吩咐他们学好做官，须要～，无负朝廷。(清·钱彩《说岳全传》第四八回),旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样。,ai,min,ru,zi,ài,mín,rú,zǐ,《礼记·中庸》：“子，庶民也。”汉·刘向《新序·杂事一》：“良君将赏善而除民患，爱民如子，盖之如天，容之若地。”
19,爱,莫,能,助,这件事我的确～，请你多加原谅。,爱：爱惜；莫：不。虽然心中关切同情，却没有力量帮助。,ai,mo,neng,zhu,ài,mò,néng,zhù,《诗经·大雅·烝民》：“维仲山甫举之，爱莫助之。”
20,爱,钱,如,命,1942年我在成都重见她的时候，她已经成了一个～的可笑的胖女人。（巴金《谈<家>》）,某些人贪爱钱财就像吝啬生命一样。形容十分贪婪、刻薄。,ai,qian,ru,ming,ài,qián,rú,mìng,明·谢谠《四喜记·大宋毕姻》“既称月老，又号冰人，爱钱如命，说谎能神，自家高媒婆是也。”
21,爱,人,好,士,,爱护、重视人才。,ai,ren,hao,shi,ài,rén,hào,shì,《三国志·蜀书·先主传》：“圣姿硕茂，神武在躬，仁覆积德，爱人好士，是以四方归心焉。”
22,爱,人,利,物,而终归于禁暴戢乱、～而不可掩者，其本领宏大开阔故也。（宋·陈亮《又乙巳春书之一（答朱熹）》）,爱护人民，力求有利于人民。,ai,ren,li,wu,ài,rén,lì,wù,《庄子·天地》：“爱人利物之谓仁。”
23,爱,人,以,德,,德：德行。按照道德标准去爱护人。,ai,ren,yi,de,ài,rén,yǐ,dé,《礼记·檀弓上》：“君子之爱人也以德，细人之爱人也以姑息。”
24,爱,日,惜,力,,珍惜时间，不虚掷精力。,ai,ri,xi,li,ài,rì,xī,lì,《三国志·吴志·孙和传》“且志土爱日惜力 ，君子慕其大道，高山景行，耻非其次。”《周书·萧圆萧传》：“朗读百边，乙夜难寐，爱日惜力，寸阴无弃。”
25,爱,如,己,出,她出世半岁，就丧了父亲，一岁半时，就随母来到邓家。母亲自然是爱的，后父也～。（沈从文《死水微澜》第二部分）,像对待亲生子女那样地爱护。,ai,ru,ji,chu,ài,rú,jǐ,chū,明·周辑《西湖二集·假邻女诞生真子》：“果然方氏爱如己出，抚养成人长大。”
26,爱,如,珍,宝,,形容十分喜欢。,ai,ru,zhen,bao,ài,rú,zhēn,bǎo,明·天然痴叟《石点头·侯官县烈女歼仇》：“申屠娘子，已是身怀六甲，到得十月满足……生个儿子，爱如珍宝。”
27,爱,素,好,古,,指爱好朴质，不趋时尚。,ai,su,hao,gu,ài,sù,hào,gǔ,《老子》：“见素抱朴，少私寡欲。”《论语·述而》：“子曰：述而不作，信而好古，窃比于我老彭。”
28,爱,屋,及,乌,子存宠上了小老婆，未免“～”，把他也看得同上客一般。（清·吴趼人《二十年目睹之怪现状》第十四回）,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,ai,wu,ji,wu,ài,wū,jí,wū,《尚书大传·大战》：“爱人者，兼其屋上之乌。”
29,爱,惜,羽,毛,灰鹤与他都是高傲的，～的，而他与它们的高傲只是一种姿态而已，没有用，没有任何的用。（老舍《四世同堂》五十）,羽毛：比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。,ai,xi,yu,mao,ài,xī,yǔ,máo,汉·刘向《说苑·杂言》：“夫君子爱口，孔雀爱羽，虎豹爱爪，此皆所以治身法也。”
30,爱,憎,分,明,他很困惑，也很痛苦，想不到～、坚强独立的小睛会怕人“闲话”。（陈若曦《耿尔在北京》）,憎：恨。爱和恨的立场和态度十分鲜明。,ai,zeng,fen,ming,ài,zēng,fēn,míng,
31,暧,昧,不,明,武汉国民政府和当权军人对于这叛变采取了～的态度，办求“化大事为小事”。（陶菊隐《北洋军阀统治时期史话》）,指不清不楚，不明不白。,ai,mei,bu,ming,ài,mèi,bù,míng,清·文康《儿女英雄传》第八回：“又把你姑娘一片侠肠，埋没得暧昧不明，我安龙媒真真的愧悔无地！”
32,暧,昧,之,情,而孤男寡女并外一室，不无～。（清·明教中人《好逑传》第十五回）,行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。,ai,mei,zhi,qing,ài,mèi,zhī,qíng,明·冯梦龙《警世通言·三现身包龙图断冤》：“做知县时，便能剖人间暧昧之情，断天下狐疑之狱。”
33,安,安,稳,稳,,形容十分安定稳当。,an,an,wen,wen,ān,ān,wěn,wěn,元·无名氏《抱妆盒》第四折：“小储君倒也安安稳稳守着妆盒做护身符，则是我陈琳兢兢战战抱着个天大闷葫芦”。
34,安,邦,定,国,荐贤举善是吾心，～访知音。（明·无名氏《伐晋兴齐》第一折）,邦：泛指国家。使国家安定巩固。,an,bang,ding,guo,ān,bāng,dìng,guó,元·关汉卿《哭存孝》第二折：“我本是安邦定国李存孝，今日个太平不用旧将军。”
35,安,邦,治,国,～平天下，自有周公孔圣人。（冰心《斯人独憔悴》）,使国家安定太平。,an,bang,zhi,guo,ān,bāng,zhì,guó,明·无名氏《伐晋兴齐》：“荐贤举善是吾心，安邦治国访知音。”
36,安,不,忘,危,何小姐是从苦境里过来的，如今得地身安，～，立志要成全起这份人家，立番事业。（清·文康《儿女英雄传》第三十回）,在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。,an,bu,wang,wei,ān,bù,wàng,wēi,《周易·系辞下》：“是故君子安而不忘危，存而不忘亡，治而不忘礼，是以身安而国家可保也。”
37,安,步,当,车,反正路不远，我们还是～吧！,安：安详，不慌忙；安步：缓缓步行。以从容的步行代替乘车。,an,bu,dang,che,ān,bù,dàng,chē,《战国策·齐策四》：“晚食以当肉，安步以当车，无罪以当贵，清静贞正以自虞。”
38,安,常,处,顺,他长期以来～，缺乏锻炼，因而经不起挫折。,安：习惯于；处：居住，居于；顺：适合，如意。习惯于平稳的日子，处于顺利的境遇中。,an,chang,chu,shun,ān,cháng,chǔ,shùn,《庄子·养生主》：“安时而处顺，哀乐不能入也。”
39,安,常,守,分,,分：本分，自己分内的。习惯于平稳的生活，安守本分。,an,chang,shou,fen,ān,cháng,shǒu,fèn,宋·朱熹《朱子语类》卷二十四：“如有一般人，只安常守分，不恁求利，然有时意思亦是求利，察其所安，又看他心所安稳处，一节深一节”。
40,安,常,守,故,他长期以来～，缺乏锻炼，因而经不起挫折。,习惯于日常的平稳生活，保守旧的一套。指守旧不知变革。,an,chang,shou,gu,ān,cháng,shǒu,gù,明·海瑞《申军门吴尧便宜五事文》：“本院非安常守故人也。至任以来，千万人以鼓舞作兴，翻然改革望之矣。”
41,安,车,蒲,轮,申公待聘，～。（明·张岱《寿周霞城八十》）,让被征请者坐在安车上，并用蒲叶包着车轮，以便行驶时车身更为安稳。表示皇帝对贤能者的优待。,an,che,pu,lun,ān,chē,pú,lún,《汉书·武帝纪》：“遣使者安车蒲轮，束帛加壁，征鲁申公。”
42,安,堵,乐,业,,安堵：相安，安定。犹言安居乐业。,an,du,le,ye,ān,dǔ,lè,yè,三国魏·钟会《檄蜀文》：“百姓士民，安堵乐业。农不易亩，市不回肆。”
43,安,堵,如,故,当涂、徽州、得以～，皆先生一谑之力也。（清·张岱《王谑庵先生传》）,堵：墙壁，居所。故：原来的。像原来一样相安无事。,an,du,ru,gu,ān,dǔ,rú,gù,《史记·高祖本纪》：“诸吏人皆案堵如故。”汉·荀悦《汉纪·高祖纪》：“吏人皆安堵如故，民争献牛洒。”
44,安,分,守,己,从此养好了，可要～，再别胡行乱闹了。（清·曹雪芹《红楼梦》第七十二回）,分：本分。规矩老实，守本分，不做违法的事。,an,fen,shou,ji,ān,fèn,shǒu,jǐ,宋·袁文《翁牖闲评》八：“彼安分守己，恬于进取者，方且以道义自居，其肯如此侥幸乎？”
45,安,分,知,足,这吴推官若是～的人，这也尽叫是快活的了。（清·西周生《醒世姻缘传》第九十一回）,安于本分，对自己所得到的待遇知道满足。,an,fen,zhi,zu,ān,fèn,zhī,zú,宋·洪迈《容斋随笔·三笔·人当知足》：“其安分知足之意终身不渝。”
46,安,富,恤,贫,各国都应采取一些～的措施，以保障社会的安定。,使富有的人安定，贫穷的人得到救济。,an,fu,xu,pin,ān,fù,xù,pín,《周礼·地官·大司徒》：“以保息六养万民：一曰慈幼，二曰养老，三曰振穷，四曰恤贫，五曰宽疾，六曰安富。”
47,安,富,尊,荣,主仆上下都是～，运筹谋画的竟无一个。（清·曹雪芹《红楼梦》第二回）,安：安逸；富：富有；尊：尊贵；荣：荣耀。安定富足，尊贵荣华。也指安于富裕安乐的生活。,an,fu,zun,rong,ān,fù,zūn,róng,《孟子·尽心上》：“君子居是国也，其君用之，则安富尊荣。”
48,安,国,宁,家,,指治理国家。,an,guo,ning,jia,ān,guó,níng,jiā,南朝宋·刘义庆《世说新语·方正》：“大丈夫将终，不问安国宁家之术，乃作儿女子相问。”
49,安,魂,定,魄,,魂、魄：人的灵气、精神。指使人心安定。,an,hun,ding,po,ān,hún,dìng,pò,明·汤显祖《牡丹亭》第三十四出：“不寻常，安魂定魄赛过反精香。”
