成语,常用度分数
爱别离苦,100.0
爱才如渴,100.0
八街九陌,100.0
百巧千穷,100.0
褒衣博带,100.0
背道而驰,100.0
匕鬯不惊,100.0
表里如一,100.0
别来无恙,100.0
不得善终,100.0
不名一钱,100.0
不惜工本,100.0
不恤人言,100.0
尘饭涂羹,100.0
趁火打劫,100.0
乘龙佳婿,100.0
尺寸之功,100.0
吹弹得破,100.0
春风化雨,100.0
答非所问,100.0
大街小巷,100.0
大气磅礴,100.0
大有可为,100.0
当务之急,100.0
盗亦有道,100.0
滴水不漏,100.0
低三下四,100.0
独步天下,100.0
肚里泪下,100.0
凡胎浊骨,100.0
防不及防,100.0
蜚短流长,100.0
飞禽走兽,100.0
分毫不爽,100.0
风度翩翩,100.0
风和日丽,100.0
风潇雨晦,100.0
浮云朝露,100.0
抚今追昔,100.0
付之东流,100.0
甘言美语,100.0
歌功颂德,100.0
各持己见,100.0
勾魂摄魄,100.0
孤家寡人,100.0
顾曲周郎,100.0
挂一漏万,100.0
贯颐奋戟,100.0
国尔忘家,100.0
果然如此,100.0
鼾声如雷,100.0
含冤负屈,100.0
赫赫之光,100.0
横峰侧岭,100.0
横赋暴敛,100.0
厚积薄发,100.0
胡越之祸,100.0
画虎类狗,100.0
化零为整,100.0
黄杨厄闰,100.0
皇天后土,100.0
悔恨交加,100.0
火光烛天,100.0
积不相能,100.0
积非成是,100.0
急功近利,100.0
季常之癖,100.0
价值连城,100.0
举世闻名,100.0
涓滴归公,100.0
卷土重来,100.0
抉瑕掩瑜,100.0
磕头如捣,100.0
刻骨铭心,100.0
恐慌万状,100.0
苦思冥想,100.0
兰因絮果,100.0
狼子野心,100.0
乐不可支,100.0
累累如珠,100.0
离乡背井,100.0
蠡测管窥,100.0
理直气壮,100.0
廉可寄财,100.0
灵丹圣药,100.0
略识之无,100.0
略逊一筹,100.0
蔓草难除,100.0
绵绵瓜瓞,100.0
磨穿铁砚,100.0
没齿无怨,100.0
目光如鼠,100.0
目空一切,100.0
目无余子,100.0
目中无人,100.0
男欢女爱,100.0
能者为师,100.0
泥多佛大,100.0
鸟枪换炮,100.0
刨根问底,100.0
偏听偏信,100.0
漂蓬断梗,100.0
牝鸡司晨,100.0
破瓜之年,100.0
骑马找马,100.0
器宇轩昂,100.0
掐头去尾,100.0
千山万水,100.0
黔突暖席,100.0
巧伪趋利,100.0
秦镜高悬,100.0
螓首蛾眉,100.0
青云直上,100.0
秋月春花,100.0
确切不移,100.0
人面桃花,100.0
如虎添翼,100.0
三缄其口,100.0
三六九等,100.0
三媒六证,100.0
三足鼎立,100.0
姗姗来迟,100.0
上谄下渎,100.0
生死相依,100.0
师出有名,100.0
十字路口,100.0
矢志不渝,100.0
率马以骥,100.0
司空见惯,100.0
司马青衫,100.0
忐忑不安,100.0
桃红柳绿,100.0
通力合作,100.0
同流合污,100.0
吐胆倾心,100.0
吞刀刮肠,100.0
万里长城,100.0
万水千山,100.0
为人作嫁,100.0
未定之天,100.0
闻过则喜,100.0
无论如何,100.0
无所事事,100.0
雾鬓云鬟,100.0
细枝末节,100.0
瑕瑜互见,100.0
先入为主,100.0
掀天揭地,100.0
纤悉无遗,100.0
相机行事,100.0
销声匿迹,100.0
信手拈来,100.0
修心养性,100.0
虚怀若谷,100.0
扬长避短,100.0
要价还价,100.0
一寸丹心,100.0
一路平安,100.0
一丘之貉,100.0
一事无成,100.0
一言为定,100.0
一叶知秋,100.0
一枝之栖,100.0
移山倒海,100.0
以理服人,100.0
以意逆志,100.0
以战去战,100.0
衣锦夜行,100.0
艺不压身,100.0
莺歌燕舞,100.0
盈科后进,100.0
忧国忧民,100.0
优柔寡断,100.0
游闲公子,100.0
有何面目,100.0
有教无类,100.0
予取予求,100.0
雨过天青,100.0
中庸之道,100.0
自卖自夸,100.0
自视甚高,100.0
足不出户,100.0
作威作福,100.0
不安于室,99.9
大明法度,99.9
七颠八倒,99.9
全始全终,99.9
量小力微,99.8
娓娓动听,99.8
无奇不有,99.8
称心如意,99.7
仁义君子,99.7
闻鸡起舞,99.7
指山说磨,99.7
作茧自缚,99.7
秉笔直书,99.5
大贤虎变,99.5
空室清野,99.4
目不暇接,99.4
夭桃秾李,99.4
安堵乐业,99.3
贪多务得,99.3
不足挂齿,99.2
弃甲丢盔,99.2
外合里差,99.2
心如刀绞,99.2
心痒难挠,99.2
一举两得,99.2
闭关锁国,99.1
祸首罪魁,99.0
落荒而逃,99.0
人以群分,99.0
敝鼓丧豚,98.9
掎角之势,98.9
尖嘴猴腮,98.9
孔武有力,98.9
缧绁之忧,98.9
例直禁简,98.9
万应灵丹,98.9
以文会友,98.9
代拆代行,98.8
高谈阔论,98.8
凄入肝脾,98.8
易子而食,98.8
芙蓉并蒂,98.7
金屋藏娇,98.7
进谗害贤,98.7
群威群胆,98.7
小心谨慎,98.7
碍口识羞,98.6
大吹法螺,98.6
东床快婿,98.6
咄嗟立办,98.6
前古未有,98.6
山颓木坏,98.6
摆袖却金,98.5
藏头露尾,98.5
蠢蠢欲动,98.5
鬼出电入,98.5
家无二主,98.5
泼天大祸,98.5
妍姿艳质,98.5
忠肝义胆,98.5
白首空归,98.4
莼鲈之思,98.4
对簿公堂,98.4
反唇相讥,98.4
个中妙趣,98.4
近悦远来,98.4
三生有幸,98.4
好为事端,98.3
迥然不群,98.3
妙处不传,98.3
青黄不接,98.3
兔起鹘落,98.3
前目后凡,98.2
片瓦无存,98.1
千变万化,98.1
树德务滋,98.1
望风扑影,98.1
豆蔻年华,98.0
风清弊绝,98.0
福地洞天,98.0
覆亡无日,98.0
匠石运金,98.0
苦心积虑,98.0
一鼓作气,98.0
有求必应,98.0
登堂入室,97.9
任其自流,97.9
无往不胜,97.9
摇手触禁,97.9
恐遭物议,97.8
朝不及夕,97.8
百无一是,97.7
咳唾成珠,97.7
余音绕梁,97.7
争权夺利,97.7
秦楼楚馆,97.6
生聚教训,97.6
畅所欲言,97.5
丁一卯二,97.5
公听并观,97.5
绝甘分少,97.5
牖中窥日,97.5
允文允武,97.5
字里行间,97.5
不成三瓦,97.4
春风满面,97.4
啼饥号寒,97.4
昭然若揭,97.4
刚毅木讷,97.3
格杀不论,97.3
后继有人,97.3
千里一曲,97.3
四通八达,97.3
倚门卖笑,97.3
搅海翻江,97.2
控名责实,97.2
茹柔吐刚,97.2
无肠可断,97.2
五雀六燕,97.2
相视莫逆,97.2
以辞害意,97.2
床上安床,97.1
断垣残壁,97.1
付诸东流,97.1
零丁孤苦,97.1
群情鼎沸,97.1
容光焕发,97.1
非昔是今,97.0
高瞻远瞩,97.0
欣欣向荣,97.0
扬清激浊,97.0
怡声下气,97.0
引风吹火,97.0
鞍前马后,96.9
必由之路,96.9
贵远贱近,96.9
情随事迁,96.9
诸如此类,96.9
动静有常,96.8
风前残烛,96.8
昂首挺胸,96.7
甑尘釜鱼,96.7
锋芒不露,96.6
逆取顺守,96.6
砥行磨名,96.5
发人深思,96.5
两世为人,96.5
见豕负涂,96.4
晨光熹微,96.3
地旷人稀,96.3
鸟语花香,96.3
承平盛世,96.2
打躬作揖,96.2
画地为牢,96.2
两手空空,96.2
以一警百,96.2
正大光明,96.2
二分明月,96.1
荟萃一堂,96.1
阶前万里,96.1
巾帼丈夫,96.1
径情直行,96.1
招权纳贿,96.1
不约而同,96.0
恶语相加,96.0
云泥殊路,96.0
抱蔓摘瓜,95.9
乘伪行诈,95.9
耳熟能详,95.9
临难苟免,95.9
美意延年,95.9
喜笑颜开,95.9
喜跃抃舞,95.9
多许少与,95.8
饿殍满道,95.8
恩山义海,95.8
行若无事,95.8
凶相毕露,95.8
钟灵毓秀,95.8
德薄能鲜,95.7
胼手胝足,95.7
青蝇点素,95.7
五日京兆,95.7
抓耳挠腮,95.7
宾客如云,95.6
襟怀洒落,95.6
居大不易,95.6
莫逆之交,95.6
冗词赘句,95.6
书香门第,95.6
罪有应得,95.6
打牙犯嘴,95.5
还我河山,95.5
牧猪奴戏,95.5
旁征博引,95.5
送往迎来,95.5
外圆内方,95.5
在家出家,95.5
半青半黄,95.4
分文不直,95.4
豪奢放逸,95.4
恨如头醋,95.4
花团锦簇,95.4
恍然若失,95.4
缄口结舌,95.4
九天九地,95.4
惹事生非,95.4
人心如面,95.4
不可限量,95.3
丰年稔岁,95.3
号啕大哭,95.3
陶陶兀兀,95.3
偷寒送暖,95.3
显露头角,95.3
倚马可待,95.3
兵贵先声,95.2
从善如流,95.2
大好河山,95.2
恫疑虚喝,95.2
简明扼要,95.2
箭在弦上,95.2
灭此朝食,95.2
彼倡此和,95.1
粉白黛黑,95.1
洛阳纸贵,95.1
命中注定,95.1
赤身露体,95.0
妙绝时人,95.0
内外交困,95.0
天灾人祸,95.0
